window,pi.pi0,alpha,h,s
0.5,0.98623383,1,0.5,0.05
0.375,0.976178765,1,0.5,0.05
0.25,0.948967278,1,0.5,0.05
0.1875,0.913112342,1,0.5,0.05
0.125,0.832401812,1,0.5,0.05
0.0625,0.637645125,1,0.5,0.05
0.03125,0.44852978,1,0.5,0.05
0.015625,0.314926445,1,0.5,0.05
0.0078125,0.235252678,1,0.5,0.05
0.00390625,0.191709578,1,0.5,0.05
0.00195309997,0.168942928,1,0.5,0.05
0.000976549985,0.157303512,1,0.5,0.05
0.00048828125,0.151361048,1,0.5,0.05
2.441406E-040,0.148463607,1,0.5,0.05
chr2,1,1,0.5,0.05
0.5,0.949235201,0.1,0.5,0.05
0.375,0.917688012,0.1,0.5,0.05
0.25,0.846278369,0.1,0.5,0.05
0.1875,0.776489973,0.1,0.5,0.05
0.125,0.659999132,0.1,0.5,0.05
0.0625,0.457716942,0.1,0.5,0.05
0.03125,0.302489221,0.1,0.5,0.05
0.015625,0.205232978,0.1,0.5,0.05
0.0078125,0.150632262,0.1,0.5,0.05
0.00390625,0.121679783,0.1,0.5,0.05
0.00195309997,0.106771111,0.1,0.5,0.05
0.000976549985,0.0992059708,0.1,0.5,0.05
0.00048828125,0.0953553915,0.1,0.5,0.05
2.441406E-040,0.0934816599,0.1,0.5,0.05
chr2,0.994865119,0.1,0.5,0.05
0.5,0.787257314,0.02,0.5,0.05
0.375,0.76351738,0.02,0.5,0.05
0.25,0.710769951,0.02,0.5,0.05
0.1875,0.659857035,0.02,0.5,0.05
0.125,0.573660374,0.02,0.5,0.05
0.0625,0.415255308,0.02,0.5,0.05
0.03125,0.283681929,0.02,0.5,0.05
0.015625,0.196217716,0.02,0.5,0.05
0.0078125,0.145319521,0.02,0.5,0.05
0.00390625,0.117791831,0.02,0.5,0.05
0.00195309997,0.10346967,0.02,0.5,0.05
0.000976549985,0.0961633325,0.02,0.5,0.05
0.00048828125,0.0924349427,0.02,0.5,0.05
2.441406E-040,0.0906177163,0.02,0.5,0.05
chr2,0.811320841,0.02,0.5,0.05
0.5,0.593271911,0.01,0.5,0.05
0.375,0.587856174,0.01,0.5,0.05
0.25,0.568328977,0.01,0.5,0.05
0.1875,0.543201089,0.01,0.5,0.05
0.125,0.491909683,0.01,0.5,0.05
0.0625,0.378689587,0.01,0.5,0.05
0.03125,0.27027899,0.01,0.5,0.05
0.015625,0.191747308,0.01,0.5,0.05
0.0078125,0.14374119,0.01,0.5,0.05
0.00390625,0.117076278,0.01,0.5,0.05
0.00195309997,0.103008509,0.01,0.5,0.05
0.000976549985,0.0957809091,0.01,0.5,0.05
0.00048828125,0.0920793414,0.01,0.5,0.05
2.441406E-040,0.0902719498,0.01,0.5,0.05
chr2,0.595424771,0.01,0.5,0.05
0.5,0.995862007,1,0.5,0.02
0.375,0.989429235,1,0.5,0.02
0.25,0.977567792,1,0.5,0.02
0.1875,0.966362238,1,0.5,0.02
0.125,0.94220084,1,0.5,0.02
0.0625,0.847000897,1,0.5,0.02
0.03125,0.683321595,1,0.5,0.02
0.015625,0.521319747,1,0.5,0.02
0.0078125,0.406008244,1,0.5,0.02
0.00390625,0.337039769,1,0.5,0.02
0.00195309997,0.299300909,1,0.5,0.02
0.000976549985,0.279561281,1,0.5,0.02
0.00048828125,0.269366622,1,0.5,0.02
2.441406E-040,0.264367282,1,0.5,0.02
chr2,1,1,0.5,0.02
0.5,0.983821154,0.1,0.5,0.02
0.375,0.97563082,0.1,0.5,0.02
0.25,0.955619574,0.1,0.5,0.02
0.1875,0.930072665,0.1,0.5,0.02
0.125,0.869344354,0.1,0.5,0.02
0.0625,0.70142895,0.1,0.5,0.02
0.03125,0.514331818,0.1,0.5,0.02
0.015625,0.370229542,0.1,0.5,0.02
0.0078125,0.280073583,0.1,0.5,0.02
0.00390625,0.229540825,0.1,0.5,0.02
0.00195309997,0.202779233,0.1,0.5,0.02
0.000976549985,0.189006329,0.1,0.5,0.02
0.00048828125,0.181946456,0.1,0.5,0.02
2.441406E-040,0.178498626,0.1,0.5,0.02
chr2,1,0.1,0.5,0.02
0.5,0.935004354,0.02,0.5,0.02
0.375,0.924996018,0.02,0.5,0.02
0.25,0.899315357,0.02,0.5,0.02
0.1875,0.869744718,0.02,0.5,0.02
0.125,0.808307528,0.02,0.5,0.02
0.0625,0.655913174,0.02,0.5,0.02
0.03125,0.488626361,0.02,0.5,0.02
0.015625,0.356334448,0.02,0.5,0.02
0.0078125,0.271465719,0.02,0.5,0.02
0.00390625,0.22312665,0.02,0.5,0.02
0.00195309997,0.197296083,0.02,0.5,0.02
0.000976549985,0.183939278,0.02,0.5,0.02
0.00048828125,0.17707634,0.02,0.5,0.02
2.441406E-040,0.173719943,0.02,0.5,0.02
chr2,0.944232702,0.02,0.5,0.02
0.5,0.823637366,0.01,0.5,0.02
0.375,0.819497347,0.01,0.5,0.02
0.25,0.804081321,0.01,0.5,0.02
0.1875,0.783106565,0.01,0.5,0.02
0.125,0.736263514,0.01,0.5,0.02
0.0625,0.613258958,0.01,0.5,0.02
0.03125,0.469521165,0.01,0.5,0.02
0.015625,0.349177897,0.01,0.5,0.02
0.0078125,0.268803239,0.01,0.5,0.02
0.00390625,0.221908867,0.01,0.5,0.02
0.00195309997,0.196517885,0.01,0.5,0.02
0.000976549985,0.183297455,0.01,0.5,0.02
0.00048828125,0.17648083,0.01,0.5,0.02
2.441406E-040,0.173140883,0.01,0.5,0.02
chr2,0.825266659,0.01,0.5,0.02
0.5,0.983516872,1,0.2,0.05
0.375,0.974002182,1,0.2,0.05
0.25,0.952527821,1,0.2,0.05
0.1875,0.92679286,1,0.2,0.05
0.125,0.866063595,1,0.2,0.05
0.0625,0.694419146,1,0.2,0.05
0.03125,0.50025177,1,0.2,0.05
0.015625,0.350191474,1,0.2,0.05
0.0078125,0.256314993,1,0.2,0.05
0.00390625,0.20372963,1,0.2,0.05
0.00195309997,0.175889552,1,0.2,0.05
0.000976549985,0.161566556,1,0.2,0.05
0.00048828125,0.154302061,1,0.2,0.05
2.441406E-040,0.150648057,1,0.2,0.05
chr2,1,1,0.2,0.05
0.5,0.982187808,0.1,0.2,0.05
0.375,0.973368883,0.1,0.2,0.05
0.25,0.951442063,0.1,0.2,0.05
0.1875,0.923606813,0.1,0.2,0.05
0.125,0.85888958,0.1,0.2,0.05
0.0625,0.685958922,0.1,0.2,0.05
0.03125,0.498442292,0.1,0.2,0.05
0.015625,0.356153369,0.1,0.2,0.05
0.0078125,0.267819166,0.1,0.2,0.05
0.00390625,0.218502641,0.1,0.2,0.05
0.00195309997,0.192437172,0.1,0.2,0.05
0.000976549985,0.179036021,0.1,0.2,0.05
0.00048828125,0.172170043,0.1,0.2,0.05
2.441406E-040,0.168817759,0.1,0.2,0.05
chr2,1,0.1,0.2,0.05
0.5,0.933850765,0.02,0.2,0.05
0.375,0.923682451,0.02,0.2,0.05
0.25,0.897638798,0.02,0.2,0.05
0.1875,0.867722631,0.02,0.2,0.05
0.125,0.805755079,0.02,0.2,0.05
0.0625,0.652744532,0.02,0.2,0.05
0.03125,0.485479474,0.02,0.2,0.05
0.015625,0.353543699,0.02,0.2,0.05
0.0078125,0.269024491,0.02,0.2,0.05
0.00390625,0.220920622,0.02,0.2,0.05
0.00195309997,0.195225775,0.02,0.2,0.05
0.000976549985,0.181941867,0.02,0.2,0.05
0.00048828125,0.175117075,0.02,0.2,0.05
2.441406E-040,0.171779454,0.02,0.2,0.05
chr2,0.943235755,0.02,0.2,0.05
0.5,0.822438717,0.01,0.2,0.05
0.375,0.818282902,0.01,0.2,0.05
0.25,0.802810788,0.01,0.2,0.05
0.1875,0.781769156,0.01,0.2,0.05
0.125,0.73480767,0.01,0.2,0.05
0.0625,0.61165756,0.01,0.2,0.05
0.03125,0.467967749,0.01,0.2,0.05
0.015625,0.34779501,0.01,0.2,0.05
0.0078125,0.267587006,0.01,0.2,0.05
0.00390625,0.220806956,0.01,0.2,0.05
0.00195309997,0.19548279,0.01,0.2,0.05
0.000976549985,0.182298481,0.01,0.2,0.05
0.00048828125,0.175500691,0.01,0.2,0.05
2.441406E-040,0.172169983,0.01,0.2,0.05
chr2,0.824074745,0.01,0.2,0.05
0.5,0.993026078,1,0.8,0.05
0.375,0.982791543,1,0.8,0.05
0.25,0.952871919,1,0.8,0.05
0.1875,0.912663102,1,0.8,0.05
0.125,0.824833333,1,0.8,0.05
0.0625,0.625665307,1,0.8,0.05
0.03125,0.442917287,1,0.8,0.05
0.015625,0.318001747,1,0.8,0.05
0.0078125,0.244808793,1,0.8,0.05
0.00390625,0.205168664,1,0.8,0.05
0.00195309997,0.184538007,1,0.8,0.05
0.000976549985,0.174015105,1,0.8,0.05
0.00048828125,0.168700755,1,0.8,0.05
2.441406E-040,0.166033626,1,0.8,0.05
chr2,1,1,0.8,0.05
0.5,0.893763363,0.1,0.8,0.05
0.375,0.84009558,0.1,0.8,0.05
0.25,0.738994122,0.1,0.8,0.05
0.1875,0.654837728,0.1,0.8,0.05
0.125,0.531882763,0.1,0.8,0.05
0.0625,0.347785294,0.1,0.8,0.05
0.03125,0.221900225,0.1,0.8,0.05
0.015625,0.147769511,0.1,0.8,0.05
0.0078125,0.107468843,0.1,0.8,0.05
0.00390625,0.086446166,0.1,0.8,0.05
0.00195309997,0.0757100582,0.1,0.8,0.05
0.000976549985,0.0702847838,0.1,0.8,0.05
0.00048828125,0.0675291419,0.1,0.8,0.05
2.441406E-040,0.0661896467,0.1,0.8,0.05
chr2,0.988980532,0.1,0.8,0.05
0.5,0.664056897,0.02,0.8,0.05
0.375,0.637103319,0.02,0.8,0.05
0.25,0.580288529,0.02,0.8,0.05
0.1875,0.528699219,0.02,0.8,0.05
0.125,0.446938097,0.02,0.8,0.05
0.0625,0.309927642,0.02,0.8,0.05
0.03125,0.2054708,0.02,0.8,0.05
0.015625,0.139591753,0.02,0.8,0.05
0.0078125,0.102362454,0.02,0.8,0.05
0.00390625,0.0825371742,0.02,0.8,0.05
0.00195309997,0.0723042488,0.02,0.8,0.05
0.000976549985,0.0671051741,0.02,0.8,0.05
0.00048828125,0.0644574761,0.02,0.8,0.05
2.441406E-040,0.0631682873,0.02,0.8,0.05
chr2,0.69244194,0.02,0.8,0.05
0.5,0.464669347,0.01,0.8,0.05
0.375,0.45965147,0.01,0.8,0.05
0.25,0.441741645,0.01,0.8,0.05
0.1875,0.419091523,0.01,0.8,0.05
0.125,0.37411803,0.01,0.8,0.05
0.0625,0.279913068,0.01,0.8,0.05
0.03125,0.195001006,0.01,0.8,0.05
0.015625,0.136124671,0.01,0.8,0.05
0.0078125,0.101079345,0.01,0.8,0.05
0.00390625,0.0818984509,0.01,0.8,0.05
0.00195309997,0.0718573332,0.01,0.8,0.05
0.000976549985,0.0667189956,0.01,0.8,0.05
0.00048828125,0.0640927553,0.01,0.8,0.05
2.441406E-040,0.0628116727,0.01,0.8,0.05
chr2,0.466670096,0.01,0.8,0.05
